Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_ikj_900_75$omp$1	OMPMul.exe	671	4465	87	3754	7453	209	3	61	34
multiply_matrices_ijk_ikj_900_90$omp$1	OMPMul.exe	650	4250	120	3601	7092	181	4	51	32
multiply_matrices_ijk_ikj_900_900$omp$1	OMPMul.exe	643	4326	117	3905	7031	4	20	43	33
multiply_matrices_ijk_ikj_950_190$omp$1	OMPMul.exe	737	4793	273	3992	7842	113	3	73	49
multiply_matrices_ijk_ikj_950_475$omp$1	OMPMul.exe	818	4957	164	4587	8089	22	31	29	17
multiply_matrices_ijk_ikj_950_50$omp$1	OMPMul.exe	727	5129	76	4210	9333	348	11	67	36
multiply_matrices_ijk_ikj_950_95$omp$1	OMPMul.exe	758	4949	175	4192	8295	208	6	58	35
multiply_matrices_ijk_ikj_950_950$omp$1	OMPMul.exe	750	5024	126	4530	8221	2	23	43	32
multiply_matrices_ikj_100(void)	OMPMul.exe	1	6	1	4	10			1	
multiply_matrices_ikj_1000(void)	OMPMul.exe	909	6075	151	5368	8879	4	27	56	38
multiply_matrices_ikj_1050(void)	OMPMul.exe	1049	7168	162	6343	10399	1	30	58	40
multiply_matrices_ikj_1100(void)	OMPMul.exe	1324	8111	199	7786	11856	3	36	249	162
multiply_matrices_ikj_1150(void)	OMPMul.exe	1437	9204	204	8534	13354	2	35	126	77
multiply_matrices_ikj_1200(void)	OMPMul.exe	1742	10830	255	10611	15747	2	39	236	162
multiply_matrices_ikj_1350(void)	OMPMul.exe	2819	14622	324	16437	21343	4	53	1617	1086
multiply_matrices_ikj_1400(void)	OMPMul.exe	3101	15738	339	17421	22960	2	63	1968	1469
multiply_matrices_ikj_1450(void)	OMPMul.exe	3371	17946	346	19362	26082	4	63	2139	1766
multiply_matrices_ikj_150(void)	OMPMul.exe	3	18	1	15	24			2	1
multiply_matrices_ikj_1500(void)	OMPMul.exe	3620	19979	340	20939	29046	3	69	2291	2005
multiply_matrices_ikj_200(void)	OMPMul.exe	6	50	2	43	71	1		4	2
multiply_matrices_ikj_250(void)	OMPMul.exe	12	76	4	66	112	2		7	5
multiply_matrices_ikj_300(void)	OMPMul.exe	21	134	4	115	193	3	1	10	6
multiply_matrices_ikj_350(void)	OMPMul.exe	39	246	7	213	355	3		14	10
multiply_matrices_ikj_400(void)	OMPMul.exe	57	376	10	336	537	4	1	17	15
multiply_matrices_ikj_450(void)	OMPMul.exe	81	557	19	516	799	2	3	25	20
multiply_matrices_ikj_50(void)	OMPMul.exe		2		3	4				
multiply_matrices_ikj_500(void)	OMPMul.exe	121	753	24	714	1091	3	6	34	26
multiply_matrices_ikj_550(void)	OMPMul.exe	154	945	31	890	1379	3	8	35	26
multiply_matrices_ikj_600(void)	OMPMul.exe	196	1284	38	1168	1872	2	8	38	30
multiply_matrices_ikj_650(void)	OMPMul.exe	247	1632	51	1505	2375	3	11	33	28
