Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_1050_350	664.33	686666666.67	5116666.67	886750000.00	1217500000.00	1866666.67	58333.33	19266666.67	1050000.00	0.6937
ijk_ikj_1050_525	689.00	785166666.67	4316666.67	1042750000.00	1092166666.67	725000.00	208333.33	9833333.33	883333.33	0.8613
ijk_ikj_1050_1050	497.33	555666666.67	2208333.33	746250000.00	817750000.00	75000.00	316666.67	3633333.33	583333.33	0.6987
ijk_ikj_1100_50	503.00	690250000.00	1975000.00	744500000.00	1329916666.67	10216666.67	241666.67	1633333.33	966666.67	0.7507
ijk_ikj_1100_55	831.00	1209500000.00	3008333.33	1231583333.33	2267583333.33	12375000.00	333333.33	4016666.67	1533333.33	0.8853
ijk_ikj_1100_100	581.00	696166666.67	4550000.00	848833333.33	1648833333.33	6825000.00	141666.67	3866666.67	1100000.00	0.6510
ijk_ikj_1100_110	803.67	945000000.00	10591666.67	1170416666.67	1819000000.00	6558333.33	150000.00	7766666.67	1583333.33	0.8450
ijk_ikj_1100_220	601.33	662500000.00	8283333.33	854333333.33	1453583333.33	3091666.67	83333.33	14916666.67	700000.00	0.6790
ijk_ikj_1100_275	732.00	970416666.67	7225000.00	1032916666.67	1426583333.33	2441666.67	91666.67	17450000.00	1033333.33	0.8120
ijk_ikj_1100_550	836.33	865750000.00	5791666.67	1208083333.33	1506416666.67	891666.67	525000.00	20133333.33	1300000.00	0.8867
ijk_ikj_1100_1100	712.00	641583333.33	3283333.33	981333333.33	1311416666.67	100000.00	583333.33	18500000.00	1300000.00	0.7390
ijk_ikj_1150_50	839.00	1083000000.00	3575000.00	1215833333.33	2308666666.67	15100000.00	450000.00	5000000.00	1766666.67	0.8873
ijk_ikj_1150_115	910.33	1147500000.00	11641666.67	1301333333.33	1796250000.00	7250000.00	91666.67	8316666.67	1450000.00	1.0087
ijk_ikj_1150_230	734.00	872833333.33	8708333.33	1021333333.33	1516250000.00	3366666.67	100000.00	16733333.33	1116666.67	0.8823
